trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
437,False,"{'a': 0.1643520579278993, 'e': 0.33324605240030314}",25,13,26.53871417173428,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.16429062103753578, 'e': 0.3324129372693024}",20,9,20.299783637405337,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.16422936937652555, 'e': 0.33158190492612916}",30,20,16.656084360899396,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.16416830195132148, 'e': 0.33075295016381384}",20,3,32.10686020906193,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.16410741777599977, 'e': 0.32992606778840433}",25,13,20.774540742962945,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.16404671587218408, 'e': 0.3291012526189333}",25,13,22.635636271312624,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.16398619526897049, 'e': 0.328278499487386}",25,13,25.46135541055429,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.16392585500285345, 'e': 0.3274578032386676}",20,14,12.945723030214918,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.16386569411765275, 'e': 0.3266391587305709}",20,15,11.494470033037786,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.16380571166444102, 'e': 0.3258225608337445}",30,16,25.959103172501706,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.16374590670147243, 'e': 0.32500800443166017}",25,15,20.548803645941277,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.16368627829411217, 'e': 0.324195484420581}",25,13,20.727446067691236,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,False,"{'a': 0.16362682551476665, 'e': 0.32338499570952955}",20,8,23.39008936660024,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,False,"{'a': 0.16356754744281482, 'e': 0.32257653322025576}",30,18,25.384959467690894,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.1635084431645399, 'e': 0.3217700918872052}",20,7,26.868137694306355,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.1634495117730625, 'e': 0.32096566665748716}",20,3,26.838108482009496,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.1633907523682738, 'e': 0.32016325249084343}",20,11,17.330712674326442,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'a': 0.16333216405677026, 'e': 0.31936284435961637}",25,8,34.0863879718109,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.16327374595178867, 'e': 0.31856443724871736}",25,11,26.519800477145765,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
456,False,"{'a': 0.16321549717314204, 'e': 0.3177680261555956}",35,24,22.272344841558322,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
457,False,"{'a': 0.16315741684715643, 'e': 0.3169736060902066}",25,17,16.576567098892557,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
